category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Curated Web,-,operating,CHN,22,Beijing,Beijing,2,2007-01-01,2010-11-01,2011-05-01
Curated Web,850000,operating,USA,NY,New York City,New York,2,2011-01-01,2011-11-03,2013-01-03
Software,863000,operating,FRA,B8,Marseille,Marseille,1,2000-01-01,2007-12-19,2007-12-19
Software,1700000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-01-01,2014-01-01,2014-01-01
Software,315000,operating,USA,AZ,Phoenix,Phoenix,1,2009-01-01,2015-04-02,2015-04-02
Curated Web,4000000,closed,USA,CA,Los Angeles,Santa Monica,2,2007-08-01,2007-11-01,2008-04-28
Curated Web,26348240.22,operating,FRA,A8,Paris,Paris,3,2013-10-01,2014-01-01,2015-10-13
Curated Web,105000,operating,USA,NY,New York City,New York,1,2012-09-01,2014-06-05,2014-06-05
E-Commerce,-,operating,IND,10,New Delhi,Gurgaon,1,2015-07-30,2015-01-02,2015-01-02
Analytics,2000000,acquired,FRA,A8,Paris,Paris,2,2011-01-01,2012-01-24,2012-10-02
Enterprise Software,400000,operating,USA,NE,Omaha,Omaha,1,2004-01-01,2013-01-09,2013-01-09
Analytics,700000,operating,NOR,12,Oslo,Oslo,1,2014-01-01,2014-11-01,2014-11-01
Enterprise Software,50000,operating,USA,FL,Orlando,Lake Mary,1,2010-01-01,2013-04-17,2013-04-17
Software,100000,closed,USA,CA,Anaheim,Irvine,1,2007-05-30,2007-05-15,2007-05-15
Curated Web,10000,operating,USA,CA,Los Angeles,Los Angeles,1,2012-09-10,2012-09-01,2012-09-01
Software,2250000,acquired,USA,OH,Toledo,Perrysburg,4,1993-01-01,2010-12-01,2014-03-01
Curated Web,1300000,acquired,USA,CA,SF Bay Area,San Francisco,1,2007-09-01,2008-07-23,2008-07-23
Software,100000,operating,USA,NJ,Newark,Cranford,1,2012-04-01,2011-12-05,2011-12-05
Software,100000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-01-01,2015-09-23,2015-09-23
Curated Web,1000000,acquired,USA,CA,SF Bay Area,San Francisco,1,2006-01-01,2007-09-01,2007-09-01
Analytics,2250000,operating,DEU,16,Berlin,Berlin,1,2014-12-29,2015-06-10,2015-06-10
E-Commerce,163500000,operating,USA,CA,Los Angeles,Los Angeles,5,2011-01-01,2012-03-06,2015-11-19
Advertising,5000000,operating,USA,NY,New York City,New York,1,2013-01-01,2015-10-28,2015-10-28
E-Commerce,5900000,operating,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-01-12,2014-08-11
Curated Web,230000,operating,USA,LA,New Orleans,Metairie,1,2006-03-01,2008-04-01,2008-04-01
Advertising,-,operating,USA,AZ,Phoenix,Chandler,2,2013-06-17,2008-01-01,2014-07-02
Biotechnology,45373444,operating,USA,UT,Salt Lake City,Salt Lake City,5,2008-01-01,2011-01-21,2014-03-06
Biotechnology,5485431,operating,GBR,C3,London,Cambridge,3,2001-01-01,2008-04-23,2014-07-09
Enterprise Software,-,operating,PRT,14,PRT - Other,Mafra,1,2002-09-01,2011-01-01,2011-01-01
Advertising,-,operating,USA,OH,"Columbus, Ohio",Columbus,1,2007-05-30,2008-09-01,2008-09-01
Biotechnology,8317643,operating,USA,RI,Providence,North Kingstown,1,1997-01-01,2010-12-30,2010-12-30
Analytics,3100000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2015-04-15,2015-08-04
Software,100000,operating,USA,GA,Atlanta,Atlanta,1,2012-01-01,2013-08-23,2013-08-23
Advertising,23000000,operating,CHN,22,Beijing,Beijing,3,2010-09-01,2011-02-01,2012-04-01
Biotechnology,1000000,operating,USA,MO,St. Louis,St Louis,1,1998-01-01,2013-12-16,2013-12-16
Curated Web,1000000,closed,ISR,5,Tel Aviv,Tel Aviv,2,2008-08-01,2008-01-01,2011-06-28
Curated Web,200000,operating,NZL,E7,Auckland,Auckland,1,2011-01-01,2013-07-11,2013-07-11
Apps,1165000,acquired,USA,OH,Cincinnati,Cincinnati,2,2013-06-01,2013-07-30,2014-02-05
Apps,200000,operating,USA,MA,Boston,Cambridge,3,2013-01-01,2013-08-01,2013-08-01
Curated Web,985136,closed,USA,NY,New York City,New York,1,2011-02-24,2011-11-14,2011-11-14
Advertising,30000,operating,USA,KY,Lexington,Lexington,1,2007-02-01,2010-07-01,2010-07-01
Mobile,31813,operating,CHN,23,Shanghai,Shanghai,1,2011-05-01,2012-10-01,2012-10-01
Clean Technology,1666776,operating,DNK,18,DNK - Other,Gerning,1,2006-01-01,2013-08-16,2013-08-16
Curated Web,27500,operating,KOR,11,Seoul,Seoul,1,2012-06-20,2012-09-01,2012-09-01
Analytics,968000,operating,USA,CA,SF Bay Area,San Francisco,3,2010-01-29,2010-01-29,2012-08-01
Advertising,-,acquired,CHE,25,Zurich,Zürich,1,2007-03-01,2008-01-01,2008-01-01
Curated Web,1270000,acquired,USA,NY,New York City,New York,1,2009-03-01,2010-02-01,2010-02-01
Apps,3000000,operating,IND,19,Bangalore,Bengaluru,2,2014-01-01,2015-04-17,2015-08-05
E-Commerce,775000,operating,USA,MD,"Washington, D.C.",Rockville,1,2011-01-01,2012-01-12,2012-01-12
Biotechnology,11500000,operating,USA,IN,Indianapolis,Carmel,3,2005-01-01,2009-06-03,2011-05-17
E-Commerce,250000,closed,USA,OH,"Columbus, Ohio",Columbus,1,2010-05-01,2010-05-01,2010-05-01
Software,645000,operating,USA,DC,"Washington, D.C.",Washington,1,2012-01-01,2014-12-10,2014-12-10
Biotechnology,5000000,operating,AUS,7,Melbourne,Melbourne,1,2008-03-01,2011-08-30,2011-08-30
E-Commerce,-,closed,ESP,29,Madrid,Madrid,1,2009-09-01,2009-09-01,2009-09-01
Curated Web,250000,operating,USA,CA,SF Bay Area,San Francisco,1,2010-06-01,2010-08-09,2010-08-09
Curated Web,3762066,closed,USA,CA,SF Bay Area,San Francisco,3,2007-01-01,2007-01-01,2010-09-24
Mobile,-,operating,IRL,7,Dublin,Dublin,1,2005-01-01,2007-03-30,2007-03-30
Software,109999,operating,USA,NH,"Manchester, New Hampshire",Concord,1,2008-01-01,2012-01-23,2012-01-23
Advertising,830000,operating,CAN,BC,Vancouver,Vancouver,1,2010-09-01,2014-10-01,2014-10-01
Software,7500,operating,USA,ME,ME - Other,Orono,1,2012-01-01,2013-04-03,2013-04-03
Curated Web,59000000,closed,USA,CA,SF Bay Area,San Francisco,4,2004-01-01,2005-11-11,2010-03-22
E-Commerce,100000,closed,JPN,19,JPN - Other,Kawasaki Si,1,2009-06-06,2009-01-01,2009-01-01
Software,11310000,operating,CAN,QC,Montreal,Montréal,1,1994-01-01,2005-01-25,2005-01-25
Advertising,7200000,acquired,USA,MD,Baltimore,Baltimore,3,2004-01-01,2006-09-01,2009-07-24
Advertising,1600000,operating,USA,CA,SF Bay Area,Mountain View,1,2010-01-01,2012-02-13,2012-02-13
Advertising,49500000,operating,USA,NY,New York City,New York,4,2008-01-01,2009-05-18,2011-08-30
Software,9000000,operating,USA,CA,SF Bay Area,Santa Clara,1,2001-01-01,2003-11-07,2003-11-07
Apps,-,operating,USA,CA,SF Bay Area,San Francisco,1,2014-01-01,2014-09-01,2014-09-01
E-Commerce,100000,operating,USA,CA,SF Bay Area,San Francisco,1,2014-01-01,2014-11-01,2014-11-01
E-Commerce,4000000,operating,CHN,22,Beijing,Beijing,1,2011-08-01,2012-07-01,2012-07-01
Curated Web,1000000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-01-25,2013-04-29,2013-04-29
Curated Web,30000,closed,USA,MI,Grand Rapids,Zeeland,1,2010-01-01,2011-05-31,2011-05-31
Analytics,240000,acquired,USA,CA,SF Bay Area,Palo Alto,1,2014-02-01,2013-08-23,2013-08-23
Software,-,operating,MKD,41,Skopje,Skopje,1,2012-01-01,2014-05-20,2014-05-20
Curated Web,-,operating,FRA,B5,Nantes,Nantes,1,2007-08-01,2007-12-01,2007-12-01
Enterprise Software,1500000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-10-15,2014-09-15,2014-09-15
Clean Technology,2600000,acquired,CAN,BC,Vancouver,Vancouver,1,2005-11-05,2010-10-28,2010-10-28
Software,-,operating,USA,MA,Boston,Somerville,1,2014-01-26,2013-10-31,2013-10-31
Apps,800000,operating,USA,GA,Atlanta,Atlanta,1,2013-01-01,2014-06-23,2014-06-23
E-Commerce,115452,operating,BGR,42,Sofia,Sofia,1,2012-01-01,2013-04-03,2013-04-03
Enterprise Software,-,operating,CAN,ON,Ottawa,Ottawa,2,2002-01-01,2009-11-03,2010-05-21
Biotechnology,20000000,operating,USA,NJ,Newark,Bridgewater,1,2007-01-01,2010-02-20,2010-02-20
Clean Technology,18742845,operating,USA,VT,Montpelier,Burlington,8,1999-01-01,2008-08-11,2014-06-17
Mobile,2099376,operating,KOR,11,Seoul,Seoul,2,2013-06-01,2014-04-30,2014-11-28
Analytics,925000,operating,USA,CA,SF Bay Area,San Francisco,1,2010-03-10,2012-03-09,2012-03-09
Apps,6725000,operating,USA,CA,SF Bay Area,Mountain View,8,2009-01-01,2011-01-04,2014-04-10
E-Commerce,500000,operating,USA,WA,Seattle,Snohomish,1,2002-02-01,2010-03-10,2010-03-10
Software,36500000,operating,RUS,48,Moscow,Moscow,3,2010-01-01,2011-06-01,2014-05-01
Apps,7500000,operating,USA,OH,"Columbus, Ohio",Dublin,1,2012-11-01,2014-06-16,2014-06-16
E-Commerce,-,operating,IND,16,Mumbai,Mumbai,1,2011-12-08,2015-01-05,2015-01-05
E-Commerce,2161469,operating,USA,NY,New York City,New York,1,2012-01-01,2014-06-15,2014-06-15
Biotechnology,10000000,operating,USA,CA,SF Bay Area,San Francisco,1,2006-01-01,2007-06-06,2007-06-06
Software,25000,operating,USA,FL,Pensacola,Fort Walton Beach,1,2014-11-06,2015-08-17,2015-08-17
Mobile,24000,operating,ARE,3,Dubai,Dubai,1,2013-12-01,2013-08-30,2013-08-30
Advertising,183498,operating,USA,TX,Houston,Houston,1,2002-12-01,2010-10-09,2010-10-09
Curated Web,1700683,operating,GBR,H9,London,London,2,2010-09-30,2011-05-24,2012-06-14
Software,54945,operating,IRL,7,Dublin,Dublin,1,2012-05-19,2012-06-16,2012-06-16
Software,10000000,operating,USA,CA,SF Bay Area,Mountain View,1,2015-01-01,2015-09-25,2015-09-25
E-Commerce,-,operating,BRA,2,Sao Paulo,São Paulo,1,2013-09-01,2015-04-17,2015-04-17
Curated Web,-,operating,GBR,H9,London,London,1,2011-06-01,2011-04-01,2011-04-01
Curated Web,300000,closed,USA,NC,Raleigh,Raleigh,1,2007-06-09,2007-06-01,2007-06-01
Software,9179849,operating,USA,TX,Austin,Austin,4,2012-01-01,2012-05-24,2014-06-04
Analytics,191577006,operating,USA,TX,Austin,Austin,3,1999-01-01,2012-03-05,2015-03-13
Advertising,240000,operating,USA,WA,Seattle,Seattle,3,2012-07-12,2012-07-12,2013-11-27
Apps,-,operating,USA,CA,"Orange County, California",Newport Coast,1,2013-03-01,2014-07-10,2014-07-10
Software,746000,operating,USA,MN,Minneapolis,Saint Paul,3,2011-01-01,2012-03-30,2013-08-13
Curated Web,5500000,operating,TUR,34,Istanbul,Istanbul,1,2012-03-05,2013-05-21,2013-05-21
Analytics,5049999,acquired,USA,VA,Richmond,Glen Allen,2,2010-01-01,2011-12-22,2013-08-16
Curated Web,4532800,operating,FRA,A8,Paris,Paris,1,1998-10-01,2007-10-02,2007-10-02
Advertising,1000000,operating,USA,PA,Philadelphia,Philadelphia,1,2014-01-01,2014-09-10,2014-09-10
Clean Technology,1500000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2014-01-01,2015-09-09,2015-09-09
E-Commerce,1250000,operating,USA,NY,New York City,New York,1,2012-01-01,2013-11-10,2013-11-10
Apps,-,operating,NOR,12,Oslo,Oslo,2,2012-02-14,2012-04-01,2012-07-24
Apps,1000000,operating,ISR,5,Tel Aviv,Herzliya,1,2012-01-01,2011-01-06,2011-01-06
Mobile,2390168.11,operating,GBR,A7,Birmingham,Birmingham,5,2011-11-18,2012-01-01,2015-05-11
Enterprise Software,738516,operating,USA,OR,Eugene,Bend,2,2013-01-01,2013-10-18,2014-05-05
E-Commerce,4300000,operating,USA,UT,Salt Lake City,American Fork,2,2011-11-11,2012-09-20,2013-02-04
Analytics,4902500,operating,USA,CA,SF Bay Area,Santa Clara,3,2011-09-15,2013-04-15,2015-01-18
Biotechnology,281500,operating,USA,NC,Raleigh,Benson,1,2005-01-01,2011-03-14,2011-03-14
Biotechnology,-,operating,DEU,11,DEU - Other,Hennigsdorf,1,2012-02-01,2013-01-08,2013-01-08
E-Commerce,63000000,acquired,USA,WA,Seattle,Bellevue,1,1997-01-01,2001-04-01,2001-04-01
Enterprise Software,67000000,operating,USA,CA,SF Bay Area,Sunnyvale,4,2008-08-02,2010-04-07,2014-08-06
E-Commerce,48500000,operating,USA,CA,Anaheim,Irvine,5,2009-01-01,2010-10-03,2014-06-27
Mobile,3050000,operating,USA,MA,Boston,Somerville,3,2008-06-01,2011-10-24,2014-04-09
Mobile,1000000,operating,USA,IL,Chicago,Chicago,2,2011-09-15,2014-07-21,2014-08-06
Software,2650000,operating,FRA,A8,Paris,Paris,1,2001-01-01,2005-03-07,2005-03-07
E-Commerce,5400000,operating,USA,CA,Los Angeles,Los Angeles,2,2014-01-01,2013-04-18,2014-11-10
Curated Web,-,closed,CHE,25,Zurich,Zürich,1,2008-01-01,2014-01-15,2014-01-15
Software,-,operating,NOR,18,Tromso,Tromsø,1,1994-01-01,2011-10-08,2011-10-08
Apps,80000,operating,CHL,12,Santiago,Santiago,1,2014-11-10,2014-12-01,2014-12-01
Advertising,-,acquired,ARE,3,Dubai,Dubai,1,2005-05-27,2011-06-20,2011-06-20
Software,7000000,acquired,USA,MO,Branson,Bolivar,1,2000-01-01,2005-05-11,2005-05-11
Advertising,-,operating,USA,TX,Houston,Houston,1,2011-10-01,2011-10-01,2011-10-01
Analytics,747936,acquired,ESP,56,Barcelona,Barcelona,2,2011-02-10,2012-04-01,2014-01-23
Clean Technology,-,operating,USA,NJ,NJ - Other,Berlin,1,2012-12-01,2013-11-21,2013-11-21
Curated Web,18600000,operating,USA,CA,SF Bay Area,Palo Alto,3,2009-04-23,2010-01-01,2013-04-08
Apps,30000,closed,BRA,27,Sao Paulo,São Paulo,1,2014-01-01,2014-01-01,2014-01-01
Software,100000000,operating,USA,NC,Raleigh,Cary,1,1999-01-01,2014-02-03,2014-02-03
Analytics,22000000,operating,GBR,H9,London,London,5,2011-04-25,2011-06-01,2014-03-03
E-Commerce,2000000,operating,TUR,34,Istanbul,Istanbul,1,2007-01-01,2013-07-05,2013-07-05
E-Commerce,50000,operating,PER,15,Lima,Lima,1,2012-09-01,2012-11-01,2012-11-01
Apps,124319,operating,BRA,21,Rio de Janeiro,Rio De Janeiro,2,2012-10-01,2013-12-01,2014-10-01
Software,170000,closed,USA,NY,Bowling Green,Albany,1,2013-01-01,2014-03-04,2014-03-04
Software,190000,operating,KOR,11,Seoul,Seoul,1,2012-04-01,2013-02-27,2013-02-27
E-Commerce,10000000,operating,CHN,22,Beijing,Beijing,1,2011-01-11,2012-03-01,2012-03-01
Curated Web,100000,closed,CHN,23,Shanghai,Shanghai,1,2010-01-01,2010-01-01,2010-01-01
Biotechnology,70000000,acquired,USA,CT,Hartford,Branford,1,2009-01-01,2013-11-07,2013-11-07
Biotechnology,20000000,ipo,USA,CA,SF Bay Area,Cupertino,1,1998-01-01,2014-06-26,2014-06-26
Mobile,29000000,operating,USA,CA,SF Bay Area,Hayward,2,2002-01-01,2004-02-18,2005-02-03
Mobile,140000,operating,CHL,12,Santiago,Santiago,3,2011-10-10,2012-01-07,2013-10-10
Software,280000,operating,USA,MI,Detroit,Ann Arbor,1,2005-01-01,2013-07-23,2013-07-23
Clean Technology,905000,closed,USA,FL,Sarasota - Bradenton,Sarasota,1,2009-01-01,2010-02-02,2010-02-02
Apps,14000000,operating,USA,NY,New York City,New York,2,2014-01-01,2014-09-03,2015-09-17
Biotechnology,1950000,operating,USA,MA,MA - Other,Longmeadow,1,2011-01-01,2011-08-15,2011-08-15
Software,1900000,operating,USA,CA,SF Bay Area,Fremont,2,2012-01-01,2013-08-22,2015-08-11
Biotechnology,2773471,operating,USA,UT,UT - Other,Saint George,2,2005-01-01,2012-11-08,2013-11-20
Software,12820000,operating,FRA,B4,Boulogne,Boulogne,1,2002-01-01,2006-01-30,2006-01-30
Biotechnology,3541250,operating,USA,CA,CA - Other,Rancho Dominguez,4,2006-01-01,2009-10-14,2015-01-12
Biotechnology,1000000,operating,USA,TX,Dallas,Frisco,1,2009-01-01,2012-08-15,2012-08-15
Biotechnology,2000000,ipo,USA,FL,Palm Beaches,Jupiter,1,1979-01-01,2015-03-09,2015-03-09
Software,50000,operating,USA,LA,New Orleans,New Orleans,1,2010-01-01,2011-01-21,2011-01-21
Analytics,-,operating,USA,MA,Boston,Boston,1,2014-06-01,2015-01-15,2015-01-15
Advertising,402500,operating,USA,VT,VT - Other,Waitsfield,1,2008-04-29,2008-04-29,2008-04-29
Enterprise Software,75000,operating,USA,IL,Chicago,Chicago,1,2011-01-01,2012-02-08,2012-02-08
Enterprise Software,2000000,operating,USA,RI,Providence,Providence,1,2007-01-01,2010-01-08,2010-01-08
Advertising,4500000,operating,FRA,B8,Nice,Mougins,2,2012-08-29,2012-06-01,2014-09-16
Enterprise Software,10000000,operating,USA,NJ,Newark,Somerset,1,1994-01-01,2001-04-04,2001-04-04
Advertising,3000000,operating,USA,NY,New York City,New York,1,2010-01-01,2010-01-01,2010-01-01
Advertising,14225000,operating,USA,NY,New York City,New York,3,2011-01-01,2011-11-01,2014-05-22
Software,-,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2006-12-01,2013-12-22,2013-12-22
Clean Technology,50000,operating,USA,WA,Seattle,Seattle,1,2013-06-07,2013-06-01,2013-06-01
Software,1000000,acquired,USA,NY,New York City,New York,1,2002-01-01,2007-10-02,2007-10-02
Advertising,14078664,closed,USA,CA,SF Bay Area,Palo Alto,3,2007-08-01,2007-08-01,2011-04-22
Biotechnology,-,operating,USA,MA,Boston,Boston,1,2013-10-08,2013-11-01,2013-11-01
E-Commerce,-,operating,CAN,ON,Ottawa,Ottawa,2,1998-01-01,2001-03-21,2009-08-31
Curated Web,3474608,acquired,ITA,9,Milan,Milan,2,2004-11-25,2007-02-24,2008-07-02
Enterprise Software,5285481,operating,CHN,23,Shanghai,Shanghai,1,2005-01-01,2013-09-01,2013-09-01
Clean Technology,600000,operating,USA,CO,Denver,Boulder,2,2011-03-31,2014-02-19,2014-12-11
Curated Web,270100,operating,ESP,60,Alcoy,Alcoy,1,2003-12-30,2007-07-01,2007-07-01
Enterprise Software,20500000,operating,USA,PA,Philadelphia,Blue Bell,2,1997-01-01,2004-06-01,2007-05-25
Apps,560000,operating,IND,2,Hyderabad,Hyderabad,1,2013-12-01,2014-02-07,2014-02-07
Advertising,50000,operating,USA,AZ,Phoenix,Scottsdale,1,2013-11-01,2013-09-30,2013-09-30
Software,3934286,operating,USA,NY,New York City,New York,1,2007-01-01,2013-10-03,2013-10-03
E-Commerce,91713,operating,JPN,40,Tokyo,Tokyo,3,2000-02-14,2000-02-14,2001-01-01
E-Commerce,75000000,operating,USA,TX,Dallas,Plano,2,1999-01-01,1999-01-01,2008-10-07
Software,765000,operating,USA,MO,St. Louis,St Louis,1,2001-01-01,2010-09-21,2010-09-21
Clean Technology,130861,closed,USA,CA,SF Bay Area,Santa Clara,1,2008-04-01,2010-12-01,2010-12-01
Software,1543920,operating,DEU,1,Frankfurt,Karlsruhe,1,2012-01-01,2013-12-09,2013-12-09
Biotechnology,6570000,operating,FRA,A8,Ivry-sur-seine,Ivry-sur-seine,3,2008-01-01,2009-11-18,2015-02-03
Software,79725,operating,USA,NC,NC - Other,Kure Beach,1,2009-01-01,2012-01-04,2012-01-04
Clean Technology,3400000,operating,USA,NY,Elmira,Ithaca,1,2006-01-01,2010-01-23,2010-01-23
Analytics,9800000,operating,USA,CA,SF Bay Area,Redwood City,1,2013-08-01,2015-03-10,2015-03-10
E-Commerce,-,acquired,CHN,23,Shanghai,Shanghai,3,1999-08-01,1999-01-01,2000-10-01
Mobile,488742,operating,USA,WA,Seattle,Bellevue,1,2012-10-10,2013-10-14,2013-10-14
Curated Web,4400000,operating,USA,CA,SF Bay Area,Portola Valley,3,2013-03-28,2013-09-06,2015-03-04
Analytics,6300000,operating,IRL,7,Dublin,Dublin,4,2012-01-01,2014-02-27,2015-11-02
Clean Technology,100000000,operating,USA,NJ,Newark,Morristown,1,2010-01-01,2013-09-17,2013-09-17
Biotechnology,2136504,operating,GBR,C3,London,Cambridge,2,2008-01-01,2013-11-21,2013-11-22
Biotechnology,600000,operating,USA,CA,SF Bay Area,Santa Clara,1,2011-01-01,2013-08-08,2013-08-08
Software,275000,operating,USA,CA,CA - Other,Yreka,1,1999-05-01,2013-03-20,2013-03-20
Biotechnology,53000000,operating,ISR,5,Tel Aviv,Ramat Gan,4,2004-01-01,2010-07-23,2015-04-14
Mobile,50000,operating,USA,CT,Hartford,Hamden,1,1973-01-01,2012-07-13,2012-07-13
E-Commerce,-,operating,USA,OH,Cincinnati,Cincinnati,1,2011-01-01,2012-11-08,2012-11-08
Analytics,10000000,operating,ISR,5,Tel Aviv,Ramat Gan,2,2001-01-01,2005-09-13,2008-09-04
Clean Technology,28900008,operating,USA,MD,"Washington, D.C.",Germantown,2,1993-01-01,2004-04-29,2013-03-04
Curated Web,23598258,ipo,USA,GA,Atlanta,Atlanta,1,1994-01-01,2011-04-12,2011-04-12
Software,1999999,operating,USA,CO,Denver,Boulder,1,1994-01-01,2014-08-14,2014-08-14
E-Commerce,200000,operating,IND,16,Mumbai,Mumbai,1,2012-03-06,2012-06-04,2012-06-04
Curated Web,-,acquired,USA,CA,CA - Other,Lucerne Valley,1,2012-01-01,2012-08-01,2012-08-01
Software,8362387,operating,USA,WA,Seattle,Kent,3,1996-01-01,2013-09-11,2015-06-09
E-Commerce,1900000,operating,ISR,5,Tel Aviv,Tel Aviv,3,2011-01-01,2012-11-07,2014-02-05
Software,150000,operating,USA,CA,Sacramento,Davis,1,2011-01-01,2012-01-23,2012-01-23
Curated Web,40000,operating,USA,NY,New York City,New York,1,2012-09-01,2013-01-07,2013-01-07
E-Commerce,-,operating,DNK,17,Copenhagen,Copenhagen,2,2013-10-01,2013-09-02,2015-01-01
Apps,40000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-12-01,2012-10-20,2012-10-20
Software,400000,operating,USA,NY,New York City,New York,1,2010-03-01,2014-12-05,2014-12-05
E-Commerce,16500000,operating,USA,CA,SF Bay Area,Palo Alto,3,2010-01-01,2011-06-01,2014-06-28
Advertising,-,operating,USA,FL,Miami,Miami,1,2012-03-01,2012-03-15,2012-03-15
E-Commerce,1250000,operating,ARE,3,Dubai,Dubai,1,2012-12-01,2014-11-26,2014-11-26
Curated Web,8000000,operating,USA,CA,SF Bay Area,San Francisco,2,2012-02-07,2013-12-31,2014-09-18
E-Commerce,-,operating,IND,28,Kolkata,Kolkata,1,2013-01-01,2015-08-26,2015-08-26
E-Commerce,3000000,operating,IND,7,Delhi,Delhi,1,2014-01-01,2015-08-25,2015-08-25
Biotechnology,107676692,operating,USA,CT,Hartford,Avon,1,2010-01-01,2010-08-26,2010-08-26
Software,36000000,operating,CHN,23,Shanghai,Shanghai,1,2000-01-01,2013-02-05,2013-02-05
Software,4550000,operating,USA,CA,SF Bay Area,Foster City,1,1997-01-01,2008-03-03,2008-03-03
E-Commerce,23000000,closed,USA,NY,New York City,Rye,2,2004-10-01,2006-09-20,2008-09-01
Clean Technology,-,operating,USA,TX,Houston,Houston,1,2014-03-24,2014-09-24,2014-09-24
Biotechnology,55000000,operating,USA,CA,San Diego,San Diego,1,2009-05-16,2011-02-11,2011-02-11
Software,40000,operating,CHL,12,Santiago,Santiago,1,2011-02-01,2012-02-09,2012-02-09
Software,25000000,ipo,USA,GA,Atlanta,Atlanta,1,1976-01-01,2009-10-15,2009-10-15
E-Commerce,1100000,closed,ISR,6,Jerusalem,Bet Shemesh,1,2003-01-01,2009-03-02,2009-03-02
Software,20000,operating,USA,AZ,Phoenix,Phoenix,1,2012-12-24,2013-05-21,2013-05-21
E-Commerce,50000,operating,USA,CO,Denver,Broomfield,1,2007-01-01,2012-03-27,2012-03-27
E-Commerce,2052410,operating,ITA,9,Milan,Milan,3,2013-01-01,2012-12-01,2015-05-06
Biotechnology,81000026,operating,USA,CA,SF Bay Area,Sunnyvale,4,2003-01-01,2005-10-01,2015-04-08
Software,2134000,operating,USA,CT,Hartford,Stamford,8,2012-01-01,2012-03-02,2014-11-25
Curated Web,2500000,operating,USA,CA,Los Angeles,Encino,1,1995-01-01,2010-09-30,2010-09-30
Software,510000,operating,CAN,BC,Vancouver,Vancouver,1,2009-01-01,2012-10-15,2012-10-15
Advertising,5500000,operating,IND,16,Mumbai,Mumbai,1,2000-01-01,2006-06-07,2006-06-07
Analytics,43000000,operating,USA,MN,MN - Other,Saint Cloud,5,2004-01-01,2004-01-01,2015-04-16
Enterprise Software,500000,operating,USA,PA,Pittsburgh,Pittsburgh,1,2009-09-01,2009-09-01,2009-09-01
Advertising,16000,operating,USA,FL,Palm Beaches,Boca Raton,1,2009-11-01,2012-08-28,2012-08-28
Biotechnology,2360000,operating,USA,OH,Cincinnati,West Chester,2,2013-01-01,2015-02-25,2015-10-01
Biotechnology,1500000,closed,USA,NY,New York City,New York,1,2000-06-01,2011-08-01,2011-08-01
Mobile,1795083,operating,USA,NC,Raleigh,Wake Forest,3,2009-01-01,2010-11-18,2013-03-13
Clean Technology,13700000,acquired,USA,CA,SF Bay Area,Fremont,1,2007-01-01,2010-09-28,2010-09-28
Mobile,200000,operating,USA,NY,New York City,Brooklyn,1,2011-01-01,2013-01-08,2013-01-08
Biotechnology,4099999,operating,USA,CA,SF Bay Area,Los Altos Hills,2,2012-01-01,2013-06-27,2013-11-04
Curated Web,8500000,acquired,USA,CA,SF Bay Area,Palo Alto,2,2005-07-15,2005-10-01,2007-10-01
Analytics,500000,operating,USA,SC,"Charleston, South Carolina",Charleston,1,2013-09-01,2015-08-05,2015-08-05
Mobile,12500000,operating,CHE,7,Geneva,Geneva,2,2000-01-01,2005-07-01,2007-02-18
Advertising,264414,closed,GBR,A4,Bath,Bath,2,2008-02-04,2008-08-10,2010-05-01
Advertising,-,operating,USA,CA,SF Bay Area,Mountain View,1,2012-01-01,2013-05-12,2013-05-12
Curated Web,565000,operating,USA,MA,Boston,Boston,3,2013-02-01,2013-11-01,2015-07-01
Analytics,1200000,operating,USA,NY,New York City,New York,1,2011-01-01,2011-01-01,2011-01-01
Analytics,6500000,operating,USA,OH,"Columbus, Ohio",Westerville,2,1996-01-01,2001-10-26,2005-09-16
Curated Web,460000,operating,USA,FL,Miami,Miami,1,2011-01-01,2013-09-05,2013-09-05
Clean Technology,-,operating,USA,CA,Los Angeles,Van Nuys,1,2009-03-23,2013-03-14,2013-03-14
Clean Technology,5828444,operating,USA,UT,Salt Lake City,Sandy,6,2010-01-01,2011-10-14,2014-03-27
Mobile,20850000,operating,USA,NC,Raleigh,Chapel Hill,2,2012-01-01,2012-11-05,2013-12-12
Clean Technology,50000,operating,USA,GA,Atlanta,Atlanta,1,2009-02-20,2014-01-30,2014-01-30
Clean Technology,2000000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2011-03-29,2015-08-18,2015-08-18
Clean Technology,6620650,operating,USA,AR,Fayetteville,Rogers,2,2011-11-28,2012-12-10,2014-09-29
Clean Technology,71400000,acquired,USA,CA,San Diego,San Diego,4,2008-08-02,2010-02-17,2013-02-06
